time	V(n001)	I(I1)
Step Information: X=1  (Run: 1/5)
5.764500000012163e-001	1.258615e+000	-4.620891e-005
5.769500000012173e-001	1.235610e+000	-4.648729e-005
5.774500000012184e-001	1.212499e+000	-4.676521e-005
5.779500000012194e-001	1.189288e+000	-4.704267e-005
5.784500000012205e-001	1.165987e+000	-4.731966e-005
5.788500000012213e-001	1.147287e+000	-4.754092e-005
5.792500000012222e-001	1.128541e+000	-4.776188e-005
5.796500000012230e-001	1.109756e+000	-4.798254e-005
5.800500000012239e-001	1.090939e+000	-4.820289e-005
5.804500000012247e-001	1.072101e+000	-4.842294e-005
5.808500000012256e-001	1.053250e+000	-4.864268e-005
5.812500000012264e-001	1.034400e+000	-4.886212e-005
5.816500000012272e-001	1.015565e+000	-4.908125e-005
5.820500000012281e-001	9.967597e-001	-4.930007e-005
5.824500000012289e-001	9.780031e-001	-4.951857e-005
5.828500000012298e-001	9.593162e-001	-4.973677e-005
5.832500000012306e-001	9.407224e-001	-4.995464e-005
5.836500000012315e-001	9.222487e-001	-5.017221e-005
5.840500000012323e-001	9.039251e-001	-5.038946e-005
5.844500000012332e-001	8.857854e-001	-5.060638e-005
5.848500000012340e-001	8.678669e-001	-5.082299e-005
5.852500000012348e-001	8.502106e-001	-5.103928e-005
5.856500000012357e-001	8.328613e-001	-5.125524e-005
5.860500000012365e-001	8.158668e-001	-5.147089e-005
5.865500000012376e-001	7.952003e-001	-5.173998e-005
5.870500000012386e-001	7.752713e-001	-5.200856e-005
5.875500000012397e-001	7.561849e-001	-5.227663e-005
5.881500000012410e-001	7.345380e-001	-5.259764e-005
5.889500000012427e-001	7.080706e-001	-5.302448e-005
5.905500000012460e-001	6.643220e-001	-5.387413e-005
5.915500000012481e-001	6.433960e-001	-5.440241e-005
5.922500000012496e-001	6.315048e-001	-5.477092e-005
5.928500000012509e-001	6.229419e-001	-5.508595e-005
5.933500000012519e-001	6.168348e-001	-5.534787e-005
5.938500000012530e-001	6.115587e-001	-5.560925e-005
5.943500000012540e-001	6.070163e-001	-5.587008e-005
5.947500000012549e-001	6.038469e-001	-5.607834e-005
5.951500000012557e-001	6.010412e-001	-5.628626e-005
5.955500000012566e-001	5.985565e-001	-5.649382e-005
5.959500000012574e-001	5.963540e-001	-5.670101e-005
5.963500000012583e-001	5.943980e-001	-5.690785e-005
5.967500000012591e-001	5.926567e-001	-5.711434e-005
5.971500000012600e-001	5.911015e-001	-5.732046e-005
5.975500000012608e-001	5.897073e-001	-5.752622e-005
5.979500000012616e-001	5.884517e-001	-5.773162e-005
5.984500000012627e-001	5.870479e-001	-5.798785e-005
5.989500000012638e-001	5.857983e-001	-5.824351e-005
5.994500000012648e-001	5.846757e-001	-5.849859e-005
5.995500000012650e-001	5.844643e-001	-5.854954e-005
6.000500000012661e-001	5.834646e-001	-5.880393e-005
6.006500000012673e-001	5.823725e-001	-5.910844e-005
6.012500000012686e-001	5.813745e-001	-5.941210e-005
6.019500000012701e-001	5.803028e-001	-5.976531e-005
6.027500000012718e-001	5.791713e-001	-6.016756e-005
6.036500000012737e-001	5.779862e-001	-6.061827e-005
6.047500000012760e-001	5.766277e-001	-6.116650e-005
